Date,Date,Open,High,Low,Close,Volume,Volume (Currency),Weighted Price
2017-09-22,2017-09-22,3623.9,3763.5,3525.1,3606.8,5016.90072309,18183003.019,3624.34977741
2017-09-23,2017-09-23,3599.7,3830.3,3570.1,3789.0,4144.04865655,15520697.6096,3745.29811205
2017-09-24,2017-09-24,3789.5,3792.9,3635.1,3672.7,2723.61174226,10089298.651,3704.38212411
2017-09-25,2017-09-25,3670.0,3976.9,3670.0,3924.0,5156.38634069,19883180.4214,3856.03000002
2017-09-26,2017-09-26,3922.7,3970.0,3850.0,3885.9,4312.7806046,16894277.8736,3917.25882266
2017-09-27,2017-09-27,3886.3,4240.0,3870.1,4213.8,6850.54844888,27912258.9506,4074.45610506
2017-09-28,2017-09-28,4213.9,4285.0,4130.0,4190.0,5769.81687903,24207859.6505,4195.60276489
2017-09-29,2017-09-29,4195.4,4224.8,4025.0,4157.1,4264.41333192,17623293.0741,4132.64186709
2017-09-30,2017-09-30,4162.6,4368.0,4151.2,4344.0,3565.25937074,15295381.6674,4290.11751372
2017-10-01,2017-10-01,4343.9,4391.0,4250.0,4383.7,2721.38577408,11740889.0559,4314.30529539
2017-10-02,2017-10-02,4387.9,4467.5,4365.2,4401.7,3475.87090973,15327623.2326,4409.72165846
2017-10-03,2017-10-03,4401.6,4430.3,4240.0,4309.0,5346.37481338,23052269.4917,4311.75708706
2017-10-04,2017-10-04,4312.9,4352.9,4189.1,4223.6,3742.45870332,15908604.3155,4250.84298229
2017-10-05,2017-10-05,4222.3,4372.0,4154.9,4324.2,3422.40852665,14623846.4348,4272.96926154
2017-10-06,2017-10-06,4319.6,4422.1,4300.1,4363.1,3102.3235294,13568945.6756,4373.80097435
2017-10-07,2017-10-07,4363.1,4440.0,4318.5,4432.0,2320.46385183,10124716.8653,4363.22972981
2017-10-08,2017-10-08,4423.2,4615.1,4407.1,4592.0,4105.51719742,18512590.9873,4509.19825617
2017-10-09,2017-10-09,4594.4,4875.0,4555.0,4772.1,5241.18232486,24631888.1763,4699.68160799
2017-10-10,2017-10-10,4774.9,4919.0,4712.4,4748.5,5679.17992944,27363918.7884,4818.28699361
2017-10-11,2017-10-11,4745.4,4878.0,4710.2,4822.6,3619.2746455,17380641.4342,4802.2444099
2017-10-12,2017-10-12,4824.2,5430.0,4812.2,5429.7,7950.6666096,41036762.623,5161.42414693
2017-10-13,2017-10-13,5429.8,5854.4,5380.1,5640.0,9222.14433934,51787058.0974,5615.51155477
2017-10-14,2017-10-14,5626.7,5800.0,5556.1,5800.0,3019.94647571,17192045.3234,5692.83113515
2017-10-15,2017-10-15,5800.0,5840.4,5462.1,5680.0,4536.38621516,25452654.4224,5610.77765763
2017-10-16,2017-10-16,5673.2,5776.6,5550.0,5738.8,3134.62065681,17786378.7358,5674.17262985
2017-10-17,2017-10-17,5738.7,5759.9,5535.1,5606.5,3462.55347926,19476585.3259,5624.91971389
2017-10-18,2017-10-18,5606.5,5630.0,5132.3,5579.4,6192.78961184,33406704.9125,5394.45177479
2017-10-19,2017-10-19,5590.0,5731.3,5534.0,5695.3,3450.45895147,19482980.3454,5646.48953065
2017-10-20,2017-10-20,5703.1,6050.0,5620.0,5999.0,4449.03328167,26171861.0248,5882.59501961
2017-10-21,2017-10-21,5990.2,6180.0,5920.9,6043.0,4431.12456991,26905771.7721,6071.99625007
2017-10-22,2017-10-22,6039.8,6090.8,5750.1,5997.6,3153.67405449,18635503.2321,5909.1405485
2017-10-23,2017-10-23,5987.5,6054.0,5700.1,5902.8,4732.96457613,27720669.5758,5856.93578092
2017-10-24,2017-10-24,5902.6,5910.0,5511.0,5545.5,5791.6319269,32846271.4497,5671.33268554
2017-10-25,2017-10-25,5545.5,5777.7,5400.0,5762.8,4900.59050168,27295409.877,5569.82058951
2017-10-26,2017-10-26,5761.0,5994.9,5707.6,5890.6,3863.26207309,22652822.5242,5863.65151928
2017-10-27,2017-10-27,5891.2,5994.0,5710.0,5793.8,3109.0864276,18110154.4226,5824.91186537
2017-10-28,2017-10-28,5794.0,5887.6,5687.0,5750.0,2051.06476132,11797461.8101,5751.87192163
2017-10-29,2017-10-29,5750.0,6209.9,5684.7,6130.0,4183.97770779,25030656.9168,5982.50245698
2017-10-30,2017-10-30,6135.8,6232.4,6032.8,6124.5,2817.13661322,17233227.5555,6117.285003
2017-10-31,2017-10-31,6124.5,6444.6,6080.0,6430.5,3950.14618649,24883341.3651,6299.34695841
2017-11-01,2017-11-01,6442.3,6749.0,6362.0,6741.9,5055.97894408,33096681.8414,6546.0481951
2017-11-02,2017-11-02,6741.8,7289.0,6710.8,7007.3,7346.37422648,51181775.1559,6966.94363478
2017-11-03,2017-11-03,7020.3,7449.0,6894.1,7160.0,4840.04253561,35071049.3488,7246.02089563
2017-11-04,2017-11-04,7160.0,7480.0,6934.1,7369.9,2705.03503914,19589501.549,7241.86609991
2017-11-05,2017-11-05,7366.5,7575.0,7297.0,7380.0,2604.5885088,19406521.0445,7450.89712978
2017-11-06,2017-11-06,7374.7,7449.0,6920.0,6969.0,4961.19201324,35789508.157,7213.89296392
2017-11-07,2017-11-07,6970.3,7273.1,6942.0,7128.1,2974.53772295,21166208.3915,7115.79760048
2017-11-08,2017-11-08,7128.1,7788.0,7097.0,7463.5,6190.61258129,45889566.8511,7412.76670903
2017-11-09,2017-11-09,7460.0,7470.0,7104.0,7152.4,5067.23527091,36796397.7429,7261.63198977
2017-11-10,2017-11-10,7155.0,7400.0,6415.0,6583.0,8899.13936163,60722778.2747,6823.44390925
2017-11-11,2017-11-11,6567.1,6800.0,6200.0,6330.0,6931.899168,44788043.9663,6461.15052756
2017-11-12,2017-11-12,6330.0,6500.0,5464.0,5880.0,14495.1237039,86294051.5049,5953.31597494
2017-11-13,2017-11-13,5840.0,6870.0,5800.0,6528.0,7537.03256051,48224130.3533,6398.29136548
2017-11-14,2017-11-14,6534.0,6779.2,6528.0,6660.6,4351.5815983,28941854.5212,6650.88172366
2017-11-15,2017-11-15,6660.6,7300.0,6660.6,7260.0,7650.85838326,54177459.4561,7081.22628105
2017-11-16,2017-11-16,7260.0,7790.0,7085.2,7750.7,8575.16387302,63750572.5034,7434.32702248
2017-11-17,2017-11-17,7755.7,7950.0,7520.2,7695.7,5630.44791972,43886718.2274,7794.53408559
2017-11-18,2017-11-18,7691.9,7849.9,7426.9,7786.0,2972.03915888,22764822.611,7659.66442366
2017-11-19,2017-11-19,7790.5,8000.0,7670.0,8000.0,2708.77432199,21259151.7811,7848.2550608
2017-11-20,2017-11-20,8000.0,8274.4,7909.6,8234.1,2650.70849042,21514255.2765,8116.41693314
2017-11-21,2017-11-21,8220.8,8350.0,7785.4,8113.1,4807.60619696,39023343.116,8117.00075198
2017-11-22,2017-11-22,8100.8,8300.0,8025.4,8250.6,2821.81601548,23147966.1927,8203.21596651
2017-11-23,2017-11-23,8251.5,8290.0,8030.0,8030.0,3096.81717503,25260419.3475,8156.89720117
2017-11-24,2017-11-24,8028.7,8277.7,7850.0,8173.1,4049.82022353,32638093.8489,8059.14634414
2017-11-25,2017-11-25,8174.1,8697.1,8100.0,8690.0,2680.85325729,22646622.9324,8447.54291225
2017-11-26,2017-11-26,8691.8,9388.0,8691.8,9174.3,3192.03207954,28801840.7333,9023.0423804
2017-11-27,2017-11-27,9174.3,9654.7,9155.6,9580.0,3131.80533832,29734005.0511,9494.20600548
2017-11-28,2017-11-28,9597.7,9885.2,9411.0,9800.0,2475.90411229,24083673.8277,9727.22396967
2017-11-29,2017-11-29,9820.0,11379.8,9000.2,9795.8,9958.75872977,102328971.341,10275.2736679
2017-11-30,2017-11-30,9773.1,10680.1,9220.8,10088.5,6997.11120759,69230759.0578,9894.19161763
2017-12-01,2017-12-01,10087.8,10961.2,9450.0,10896.1,4676.81408673,48154259.5423,10296.3809656
2017-12-02,2017-12-02,10887.1,11198.6,10673.0,10901.0,2623.40366774,28665269.0552,10926.7473426
2017-12-03,2017-12-03,10901.0,11777.0,10701.6,11235.1,4153.48733109,46829337.5521,11274.7033563
2017-12-04,2017-12-04,11242.0,11663.9,11006.3,11638.0,3476.47232317,39588226.5158,11387.4706414
2017-12-05,2017-12-05,11638.0,11850.0,11502.2,11736.2,3195.85665527,37365657.1069,11691.9064706
2017-12-06,2017-12-06,11723.4,13850.0,11723.4,13737.7,5197.7545049,66004059.016321,12698.571845611
2017-12-07,2017-12-07,13733.4,15958.0,13699.0,15899.0,7755.7522399,115523211.90071,14895.165333724
2017-12-08,2017-12-08,15899.0,16986.0,14201.6,15921.9,4718.38587644,73053187.800897,15482.664986276
2017-12-09,2017-12-09,15921.9,16100.0,13200.0,14682.9,3770.61362482,55390110.634468,14689.946026255
2017-12-10,2017-12-10,14682.9,15700.0,13000.0,14850.3,4467.85379163,64692624.567514,14479.575112486
